0 0.0129 0.0156
1 0.0188 0.0428
2 0.0123 0.2641
3 0.0519 0.143
4 0.0031 0.2278
5 0.0134 0.0957
6 0.0306 0.6239
7 0.0221 0.2779
8 0.0224 0.3124
9 0.0036 0.0439
10 0.0132 0.2062
11 0.0114 0.0457
12 0.0311 0.1242
13 0.0147 0.087
14 0.0019 0.1071
15 0.0089 0.1875
16 0.0387 0.5696
17 0.0024 0.2469
18 0.003 0.0156
19 0.003 0.0185
20 0.0051 0.0624
21 0.1551 0.5051
22 0.0153 0.2174
23 0.0124 0.0502
24 0.003 0.0592
25 0.1048 0.2142
26 0.0044 0.4702
27 0.0134 0.0889
28 0.0016 0.0328
29 0.0555 0.1749
30 0.0034 0.1333
31 0.008 0.1231
32 0.0008 0.0168
33 0.0157 0.1249
34 0.0021 0.1117
35 0.0058 0.0894
36 0.003 0.0156
37 0.0095 0.0992
38 0.0089 0.0959
39 0.0051 0.0815
40 0.0021 0.0168
41 0.0157 0.059
42 0.0178 0.3286
43 0.1585 0.4347
44 0.0045 0.0392
45 0.0103 0.0733
46 0.0286 0.2258
47 0.0021 0.2427
48 0.0489 0.2805
49 0.0159 0.3254
50 0.0036 0.055
51 0.0065 0.0624
52 0.0117 0.0937
53 0.0092 0.2599
54 0.0025 0.0286
55 0.0026 0.2456
56 0.0041 0.1697
57 0.0676 0.2046
58 0.0053 0.116
59 0.0154 0.1694
60 0.1918 0.3715
61 0.001 0.026
62 0.0087 0.0748
63 0.0723 0.2111
64 0.0923 0.3802
65 0.0071 0.2175
66 0.0102 0.095
67 0.0035 0.0339
68 0.0632 0.2103
69 0.0154 0.358
70 0.0011 0.008
71 0.05 0.1974
72 0.0211 0.3423
73 0.0051 0.116
74 0.0034 0.0156
75 0.0064 0.1846
76 0.0122 0.1653
77 0.0048 0.2499
78 0.0061 0.0905
79 0.0122 0.2794
80 0.0518 0.2492
81 0.0026 0.1126
82 0.0089 0.0855
83 0.0113 0.2473
84 0.001 0.032
85 0.029 0.1798
86 0.008 0.0599
87 0.005 0.2963
88 0.0418 0.1414
89 0.004 0.0153
90 0.0278 0.25
91 0.0031 0.0316
92 0.1635 0.0933
93 0.0056 0.1171
94 0.0021 0.1795
95 0.0028 0.25
96 0.0064 0.1703
97 0.0222 0.1072
98 0.0416 0.6624
99 0.0061 0.1493
100 0.0132 0.1788
101 0.0033 0.1358
102 0.0029 0.0179
103 0.0093 0.1397
104 0.0051 0.0966
105 0.0018 0.0203
106 0.0008 0.0512
107 0.0283 0.2337
108 0.0219 0.2926
109 0.2331 0.4973
110 0.0471 0.2338
111 0.0053 0.2499
112 0.0031 0.4837
113 0.0671 0.4021
114 0.0018 0.029
115 0.0144 0.0211
116 0.2103 0.2395
117 0.0033 0.1461
118 0.0025 0.5512
119 0.0079 0.1767
120 0.016 0.1624
121 0.013 0.1058
122 0.0186 0.2929
123 0.0015 0.0287
124 0.0443 0.2241
125 0.0058 0.1259
126 0.0058 0.0156
127 0.0196 0.2144
128 0.0124 0.1386
129 0.013 0.25
130 0.005 0.2371
131 0.0036 0.0156
132 0.0143 0.375
133 0.004 0.0154
134 0.0292 0.171
135 0.0488 0.0798
136 0.008 0.1044
137 0.0021 0.062
138 0.0016 0.0131
139 0.0041 0.083
140 0.0045 0.0599
141 0.0039 0.0392
142 0.0288 0.2136
143 0.0914 0.4756
144 0.0097 0.0156
145 0.0046 0.2373
146 0.0412 0.1969
147 0.0076 0.2499
148 0.0041 0.1246
149 0.026 0.1009
150 0.0316 0.3541
151 0.0092 0.2032
152 0.0018 0.1623
153 0.0123 0.2444
154 0.0253 0.0967
155 0.0177 0.2493
156 0.0071 0.1787
157 0.0063 0.1246
158 0.0255 0.04
159 0.0018 0.0471
160 0.006 0.5938
161 0.0058 0.0383
162 0.0253 0.0634
163 0.028 0.2246
164 0.0048 0.0656
165 0.0033 0.0622
166 0.0227 0.2306
167 0.0127 0.0563
168 0.0303 0.1086
169 0.1531 0.0411
170 0.0029 0.0147
171 0.0128 0.1388
172 0.0044 0.1851
173 0.0063 0.0544
174 0.0125 0.1981
175 0.0045 0.0441
176 0.2304 0.9949
177 0.0469 0.1865
178 0.0351 0.372
179 0.1358 0.5229
180 0.0093 0.1188
181 0.0071 0.0425
182 0.0009 0.071
